Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Arena,Notes
"Tue, Oct 24, 2023",7:30p,Los Angeles Lakers,107,Denver Nuggets,119,Box Score,,"19,842",Ball Arena,
"Tue, Oct 24, 2023",10:00p,Phoenix Suns,108,Golden State Warriors,104,Box Score,,"18,064",Chase Center,
"Wed, Oct 25, 2023",7:00p,Houston Rockets,86,Orlando Magic,116,Box Score,,"18,846",Amway Center,
"Wed, Oct 25, 2023",7:00p,Boston Celtics,108,New York Knicks,104,Box Score,,"19,812",Madison Square Garden (IV),
"Wed, Oct 25, 2023",7:00p,Washington Wizards,120,Indiana Pacers,143,Box Score,,"16,004",Gainbridge Fieldhouse,
"Wed, Oct 25, 2023",7:00p,Atlanta Hawks,110,Charlotte Hornets,116,Box Score,,"16,129",Spectrum Center,
"Wed, Oct 25, 2023",7:30p,Detroit Pistons,102,Miami Heat,103,Box Score,,"19,695",Kaseya Center,
"Wed, Oct 25, 2023",7:30p,Minnesota Timberwolves,94,Toronto Raptors,97,Box Score,,"19,800",Scotiabank Arena,
"Wed, Oct 25, 2023",7:30p,Cleveland Cavaliers,114,Brooklyn Nets,113,Box Score,,"17,931",Barclays Center,
"Wed, Oct 25, 2023",8:00p,New Orleans Pelicans,111,Memphis Grizzlies,104,Box Score,,"17,798",FedEx Forum,
"Wed, Oct 25, 2023",8:00p,Oklahoma City Thunder,124,Chicago Bulls,104,Box Score,,"21,369",United Center,
"Wed, Oct 25, 2023",9:00p,Sacramento Kings,130,Utah Jazz,114,Box Score,,"18,206",Delta Center,
"Wed, Oct 25, 2023",9:30p,Dallas Mavericks,126,San Antonio Spurs,119,Box Score,,"18,947",Frost Bank Center,
"Wed, Oct 25, 2023",10:30p,Portland Trail Blazers,111,Los Angeles Clippers,123,Box Score,,"19,370",Crypto.com Arena,
"Thu, Oct 26, 2023",7:30p,Philadelphia 76ers,117,Milwaukee Bucks,118,Box Score,,"17,783",Fiserv Forum,
"Thu, Oct 26, 2023",10:00p,Phoenix Suns,95,Los Angeles Lakers,100,Box Score,,"18,997",Crypto.com Arena,
"Fri, Oct 27, 2023",7:00p,Denver Nuggets,108,Memphis Grizzlies,104,Box Score,,"16,617",FedEx Forum,
"Fri, Oct 27, 2023",7:00p,Detroit Pistons,111,Charlotte Hornets,99,Box Score,,"15,855",Spectrum Center,
